Carro	Fabricante	Modelo	PrecoMin	Potencia	TorqMax	Freios	Cambio	CapBat	Autonomia	DistEixos	Comprimento	Largura	Altura	PesoVazio	PesoCheio	CapMax	NumAssentos	NumeroPortas	TamPneu	VelMax	BootCap	Acc	CapMaxBat	ConsMedio
1	Audi e-tron 55 quattro	1	e-tron 55 quattro	345700	360	664	1	3	95	438	292.8	490.1	193.5	162.9	2565	3130	640	5	5	19	200	660	5.7	150	24.45
2	Audi e-tron 50 quattro	1	e-tron 50 quattro	308400	313	540	1	3	71	340	292.8	490.1	193.5	162.9	2445	3040	670	5	5	19	190	660	6.8	150	23.8
3	Audi e-tron S quattro	1	e-tron S quattro	414900	503	973	1	3	95	364	292.8	490.2	197.6	162.9	2695	3130	565	5	5	20	210	660	4.5	150	27.55
4	Audi e-tron Sportback 50 quattro	1	e-tron Sportback 50 quattro	319700	313	540	1	3	71	346	292.8	490.1	193.5	161.6	2445	3040	640	5	5	19	190	615	6.8	150	23.3
5	Audi e-tron Sportback 55 quattro	1	e-tron Sportback 55 quattro	357000	360	664	1	3	95	447	292.8	490.1	193.5	161.6	2595	3130	670	5	5	19	200	615	5.7	150	23.85
6	Audi e-tron Sportback S quattro	1	e-tron Sportback S quattro	426200	503	973	1	3	95	369	292.8	490.2	197.6	161.5	2695	3130	565	5	5	20	210	615	4.5	150	27.2
7	BMW i3	2	i3	169700	170	250	1	2	42.2	359	257	400.6	179.1	157	1440	1730	440	4	5	19	160	260	8.1	50	13.1
8	BMW i3s	2	i3s	184200	184	270	1	2	42.2	345	257	400.6	179.1	159	1460	1730	440	4	5	20	160	260	6.9	50	14.3
9	BMW iX3	2	iX3	282900	286	400	1	2	80	460	286.4	473.4	189.1	166.8	2260	2725	540	5	5	19	180	510	6.8	150	18.8
11	DS DS3 Crossback e-tense	4	DS3 Crossback e-tense	159900	136	260	1	1	50	320	255.8	411.8	255.8	153.4	1523	1975	450	5	5	17	150	350	8.7	100	15.6
12	Honda e	5	e	152900	136	315	1	2	35.5	222	253.8	389.4	175.2	151.2	1514	1855	342	5	5	16	145	171	9	100	17.2
13	Honda e Advance	5	e Advance	165900	154	315	1	2	35.5	222	253.8	389.4	175.2	151.2	1543	1870	350	5	5	17	145	171	8.3	100	17.5
14	Hyundai Ioniq electric	6	Ioniq electric	184500	136	295	1	1	38.3	311	270	447	182	147.5	1527	1970	518	5	5	16	165	357	9.9	100	13.8
15	Hyundai Kona electric 39.2kWh	6	Kona electric 39.2kWh	154400	136	395	1	1	39.2	289	260	418	180	157	1535	2020	485	5	5	17	155	332	9.7	100	15
16	Hyundai Kona electric 64kWh	6	Kona electric 64kWh	178400	204	395	1	1	64	449	260	418	180	157	1685	2170	485	5	5	17	167	332	7.6	100	15.4
17	Jaguar I-Pace	7	I-Pace	359500	400	696	1	3	90	470	299	468.2	201.1	155.6	2208	2670	537	5	5	20	200	656	4.8	100	21.2
18	Kia e-Niro 39.2kWh	8	e-Niro 39.2kWh	146990	136	395	1	1	39.2	289	270	437.5	180.5	156	1592	2080	488	5	5	17	155	451	9.8	100	15.3
19	Kia e-Niro 64kWh	8	e-Niro 64kWh	167990	204	395	1	1	64	455	270	437.5	180.5	156	1737	2230	493	5	5	17	167	451	7.8	100	15.9
20	Kia e-Soul 39.2kWh	8	e-Soul 39.2kWh	139900	136	395	1	1	39.2	276	260	419.5	180	160.5	1535	1682	490	5	5	17	157	315	9.9	100	15.6
21	Kia e-Soul 64kWh	8	e-Soul 64kWh	160990	204	395	1	1	64	452	260	419.5	180	160.5	1535	1682	498	5	5	17	167	315	7.9	100	15.7
22	Mazda MX-30	9	MX-30	142900	145	270	1	1	35.5	200	265.5	439.5	179.5	155.5	1645	2119	474	5	5	18	140	350	9.7	37	14.5
23	Mercedes-Benz EQC	10	EQC	334700	408	760	1	3	80	414	287.3	476.2	188.4	162.4	2495	2940	445	5	5	19	180	500	5.1	110	21.85
24	Mini Cooper SE	11	Cooper SE	139900	184	270	1	1	28.9	234	249.5	384.5	172.7	143.2	1300	1770	480	4	3	16	150	211	7.3	50	16.75
25	Nissan Leaf	12	Leaf	122900	150	320	1	1	40	270	270	449	178.8	153	1545	1995	450	5	5	16	144	435	7.9	50	18.5
26	Nissan Leaf e+	12	Leaf e+	164000	217	340	1	1	62	385	270	449	178.8	154.5	1705	2140	435	5	5	17	157	435	6.9	100	17.1
27	Opel Corsa-e	13	Corsa-e	128900	136	260	1	1	50	337	253.8	406	176.5	143.3	1530	1916	367	5	5	16	150	267	8.1	100	16.65
28	Opel Mokka-e	13	Mokka-e	139900	136	260	1	1	50	324	256.1	415.1	179.1	153.2	1598	2015	417	5	5	16	150	310	9	100	17.6
29	Peugeot e-208	14	e-208	124900	136	260	1	1	50	340	254	405.5	174.5	143	1455	1918	463	5	5	16	150	311	8.1	100	16.4
