"";"CapBat";"Autonomia";"DistEixos";"CapMax";"Cambio";"NumAssentos";"ConsMedio"
"1";1;0,723192019950125;0,752496433666191;0,456919060052219;"3";"5";24,45
"2";0,689922480620155;0,478802992518703;0,752496433666191;0,496083550913838;"3";"5";23,8
"3";1;0,538653366583541;0,752496433666191;0,359007832898172;"3";"5";27,55
"4";0,689922480620155;0,493765586034913;0,752496433666191;0,456919060052219;"3";"5";23,3
"6";1;0,551122194513716;0,752496433666191;0,359007832898172;"3";"5";27,2
"7";0,317829457364341;0,526184538653367;0,497146932952924;0,195822454308094;"2";"4";13,1
"10";0,418604651162791;0,428927680798005;0,488587731811698;0,2088772845953;"1";"5";15,6
"11";0,231266149870801;0,184538653366584;0,47432239657632;0,0678851174934726;"2";"5";17,2
"12";0,231266149870801;0,184538653366584;0,47432239657632;0,0783289817232376;"2";"5";17,5
"13";0,267441860465116;0,406483790523691;0,589871611982882;0,297650130548303;"1";"5";13,8
"14";0,27906976744186;0,351620947630923;0,518544935805991;0,254569190600522;"1";"5";15
"16";0,935400516795866;0,802992518703242;0,796718972895863;0,322454308093995;"3";"5";21,2
"18";0,599483204134367;0,765586034912718;0,589871611982882;0,265013054830287;"1";"5";15,9
"19";0,27906976744186;0,319201995012469;0,518544935805991;0,261096605744125;"1";"5";15,6
"20";0,599483204134367;0,758104738154613;0,518544935805991;0,27154046997389;"1";"5";15,7
"21";0,231266149870801;0,129675810473815;0,557774607703281;0,240208877284595;"1";"5";14,5
"23";0,145994832041344;0,214463840399002;0,443651925820257;0,248041775456919;"1";"4";16,75
"24";0,289405684754522;0,304239401496259;0,589871611982882;0,2088772845953;"1";"5";18,5
"25";0,573643410852713;0,591022443890274;0,589871611982882;0,189295039164491;"1";"5";17,1
"27";0,418604651162791;0,438902743142145;0,490727532097004;0,16579634464752;"1";"5";17,6
"28";0,418604651162791;0,478802992518703;0,475748930099857;0,225848563968668;"1";"5";16,4
"29";0,795865633074935;0,645885286783042;0,732524964336662;0,587467362924282;"3";"4";23,4
"31";0,979328165374677;0,753117206982544;0,732524964336662;0,372062663185379;"3";"4";24,85
"32";0,979328165374677;0,658354114713217;0,732524964336662;0,372062663185379;"3";"4";25,1
"34";0,444444444444444;0,615960099750623;0,509985734664765;0,255874673629243;"1";"5";16,5
"35";0,248062015503876;0,27930174563591;0,391583452211127;0,100522193211488;"1";"4";15,45
"36";0;0,0149625935162095;0;0;"2";"2";16,35
"37";0;0;0,442938659058488;0,202349869451697;"2";"4";17
"38";0,189922480620155;0,27431421446384;0,388017118402282;0,10443864229765;"1";"4";14
"39";0,521963824289406;0,690773067331671;0,639800285306705;0,326370757180157;"2";"5";15,4
"40";0,767441860465116;1;0,639800285306705;0,159268929503916;"2";"5";15,9
"41";0,767441860465116;0,877805486284289;0,640513552068474;0,484334203655352;"2";"5";18
"42";0,418604651162791;0,204488778054863;1;1;"1";"8";25,2
